,Gender,Age,Education Level,Preferred Subjects,Least preferred Subjects,Hours per week for school,Educational Level parent_1,Educational Level parent_2,CRT_points,Use AI school and freetime,Used AI,Frequency of use education,Frequency of use everyday life,Use of AI in freetime,Usefullness AI,Deal with AI,Understanding AI,Internet terms_Spyware,Internet terms_Cache,Internet terms_Advanced Search,Internet terms_PDF,Internet terms_Phishing,Internet terms_Wiki,True/False_1,True/False_2,True/False_3,True/False_4,True/False_5,True/False_6,Reliability AI,Concerns AI,Teachers preparing lessons,Teachers giving grades,Mates using AI,Allowance to use AI,Frequency use of AI_school,Most used subjects,Purposes to use AI,Reasons to use AI,Help of AI,True_False_Score,Internet_Understanding_Score,Internet Understanding (Grouped),gender_Keine Angabe,gender_Männlich,gender_Weiblich,privacy_Ich habe darüber noch nie nachgedacht.,privacy_Ja,privacy_Nein
94,Weiblich,17,"Gymnasium / Mittelschulen (IMS, HMS, FMS)","Biologie, Geografie, Sport","Deutsch, Physik, Informatik",2-5 Stunden pro Woche,Abschluss an einer Fachhochschule / Hochschule,Abschluss an einer Hochschule / Fachhochschule,3,4,ChatGPT,Oft,Manchmal,Verständnisfragen über Wissen im Alltag,Ziemlich nützlich,Eher gut,Weder gut noch schlecht,Kein Verständnis,Kein Verständnis,Schlechtes Verständnis,Gutes Verständnis,Kein Verständnis,Mittelmässiges Verständnis,Falsch,Falsch,Falsch,Falsch,Wahr,Ich weiss es nicht,4,Ja,Neutral / Mir egal,Stört mich ein wenig,Oft,"Ja, für beides",Manchmal,"Geschichte, Biologie, Deutsch","Erklärungen,Ideenfindung / Kreative Ideen","Zeitersparnis,weniger Stress,Als Prüfungsvorbereitung,Bessere Erklärungen als von den Lehrern",4.0,5,12,Schlechtes Verständnis,False,False,True,False,True,False
95,Weiblich,17,"Gymnasium / Mittelschulen (IMS, HMS, FMS)","Mathematik / Geometrie, Biologie, Sport","Französisch, Physik, Informatik",2-5 Stunden pro Woche,Abschluss an einer Fachhochschule / Hochschule,Berufsabschluss,3,4,ChatGPT,Manchmal,Manchmal,Verständnisfragen über Wissen im Alltag,Sehr nützlich,Weder gut noch schlecht,Eher wenig,Kein Verständnis,Kein Verständnis,Mittelmässiges Verständnis,Völliges Verständnis,Gutes Verständnis,Mittelmässiges Verständnis,Falsch,Ich weiss es nicht,Ich weiss es nicht,Ich weiss es nicht,Ich verstehe die Frage nicht,Falsch,4,Ich habe darüber noch nie nachgedacht.,Stört mich sehr,Stört mich ein wenig,Oft,Nur wenn die Lehrperson es ausdrücklich erlaubt,Manchmal,"Deutsch, Französisch, Geschichte","Zusammenfassungen,Erklärungen,Schreiben von Texten,Ideenfindung / Kreative Ideen,Vorbereiten von Vorträgen","Zeitersparnis,weniger Stress",2.0,2,17,Mittelmässiges Verständnis,False,False,True,True,False,False
96,Weiblich,16,"Gymnasium / Mittelschulen (IMS, HMS, FMS)","Wirtschaft und Recht, Kochen, Wirtschaft und Recht","Deutsch, Geschichte",Mehr als 5 Stunden pro Woche,Abschluss an einer Universität oder ETH,Berufsabschluss,2,5,"ChatGPT,Microsoft Copilot",Oft,Manchmal,"Erstellen von Bildern / Videos,Verständnisfragen über Wissen im Alltag,Private Fragen zu persönlichen Themen",Ziemlich nützlich,Eher gut,Weder gut noch schlecht,Kein Verständnis,Kein Verständnis,Mittelmässiges Verständnis,Gutes Verständnis,Schlechtes Verständnis,Mittelmässiges Verständnis,Falsch,Ich weiss es nicht,Falsch,Falsch,Ich verstehe die Frage nicht,Falsch,4,Ja,Neutral / Mir egal,Stört mich sehr,Immer,Nur für Hausaufgaben,Häufig,"Mathematik, Deutsch, Geschichte","Zusammenfassungen,Erklärungen,Ideenfindung / Kreative Ideen,Vorbereiten von Vorträgen,Grammatik / Rechtschreibung","Zeitersparnis,weniger Stress,Als Prüfungsvorbereitung,Für Fragen die ich nicht im Klassenraum stellen wollte,Bessere Erklärungen als von den Lehrern",4.0,4,14,Schlechtes Verständnis,False,False,True,False,True,False
97,Weiblich,18,"Gymnasium / Mittelschulen (IMS, HMS, FMS)","Wirtschaft und Recht, Kochen, Handarbeit / Werken","Mathematik / Geometrie, Physik, Geschichte",2-5 Stunden pro Woche,Berufsabschluss,Abschluss an einer Hochschule / Fachhochschule,3,5,"ChatGPT,Gemini (Google)",Oft,Sehr oft,"Erstellen von Bildern / Videos,Verständnisfragen über Wissen im Alltag,Private Fragen zu persönlichen Themen",Sehr nützlich,Eher gut,Eher gut,Gutes Verständnis,Mittelmässiges Verständnis,Schlechtes Verständnis,Völliges Verständnis,Gutes Verständnis,Mittelmässiges Verständnis,Falsch,Falsch,Falsch,Falsch,Wahr,Falsch,3,Nein,Neutral / Mir egal,Stört mich sehr,Oft,Nur wenn die Lehrperson es ausdrücklich erlaubt,Häufig,"Mathematik, Biologie, Geschichte","Zusammenfassungen,Erklärungen,Ideenfindung / Kreative Ideen,Grammatik / Rechtschreibung","Zeitersparnis,weniger Stress,Als Prüfungsvorbereitung,Für Fragen die ich nicht im Klassenraum stellen wollte,Bessere Erklärungen als von den Lehrern",4.0,6,21,Gutes Verständnis,False,False,True,False,False,True
98,Männlich,16,"Gymnasium / Mittelschulen (IMS, HMS, FMS)","Geografie, Wirtschaft und Recht",Geschichte,2-5 Stunden pro Woche,Abschluss an einer Fachhochschule / Hochschule,Abschluss an einer Universität / ETH,2,4,"ChatGPT,Perplexity",Manchmal,Selten,Private Fragen zu persönlichen Themen,Ziemlich nützlich,Weder gut noch schlecht,Weder gut noch schlecht,Gutes Verständnis,Mittelmässiges Verständnis,Schlechtes Verständnis,Völliges Verständnis,Gutes Verständnis,Gutes Verständnis,Falsch,Falsch,Falsch,Falsch,Wahr,Falsch,3,Nein,Neutral / Mir egal,Stört mich sehr,Oft,Nur wenn die Lehrperson es ausdrücklich erlaubt,Manchmal,"Chemie, Physik, Geschichte",Erklärungen,"Zeitersparnis,Für Fragen die ich nicht im Klassenraum stellen wollte,Bessere Erklärungen als von den Lehrern",3.0,6,22,Gutes Verständnis,False,True,False,False,False,True
99,Weiblich,16,"Gymnasium / Mittelschulen (IMS, HMS, FMS)","Chemie, Geschichte, Musik","Deutsch, Physik, Informatik",Mehr als 5 Stunden pro Woche,Ich weiss es nicht,Ich weiss es nicht,0,4,ChatGPT,Manchmal,Manchmal,"Verständnisfragen über Wissen im Alltag,Private Fragen zu persönlichen Themen",Teils/teils,Weder gut noch schlecht,Weder gut noch schlecht,Kein Verständnis,Kein Verständnis,Schlechtes Verständnis,Gutes Verständnis,Kein Verständnis,Schlechtes Verständnis,Falsch,Ich weiss es nicht,Falsch,Ich weiss es nicht,Ich weiss es nicht,Ich weiss es nicht,4,Nein,Neutral / Mir egal,Stört mich ein wenig,Oft,"Nein, weder für die Schule noch für die Hausaufgaben",Häufig,"Geografie, Physik, Biologie","Zusammenfassungen,Erklärungen,Lerntechniken / Tipps wie man lernt","Zeitersparnis,Als Prüfungsvorbereitung,Bessere Erklärungen als von den Lehrern",3.0,2,11,Schlechtes Verständnis,False,False,True,False,False,True
100,Weiblich,16,"Gymnasium / Mittelschulen (IMS, HMS, FMS)","Englisch, Informatik, Psychologie / Pädagogik","Mathematik / Geometrie, Französisch, Physik",0-1 Stunde pro Woche,Abschluss an einer Universität oder ETH,Abschluss an einer Universität / ETH,3,1,,,,,,Eher gut,Eher gut,Gutes Verständnis,Mittelmässiges Verständnis,Gutes Verständnis,Gutes Verständnis,Gutes Verständnis,Gutes Verständnis,Falsch,Falsch,Falsch,Falsch,Wahr,Falsch,1,Ja,Stört mich sehr,Stört mich sehr,Oft,Nur wenn die Lehrperson es ausdrücklich erlaubt,Nie,,,,,6,23,Gutes Verständnis,False,False,True,False,True,False
101,Weiblich,16,"Gymnasium / Mittelschulen (IMS, HMS, FMS)","Englisch, Sport, Psychologie / Pädagogik","Mathematik / Geometrie, Biologie, Informatik",2-5 Stunden pro Woche,Matura,Berufsabschluss,0,4,"ChatGPT,My AI (Snapchat)",Manchmal,Manchmal,Private Fragen zu persönlichen Themen,Teils/teils,Sehr gut,Eher gut,Kein Verständnis,Völliges Verständnis,Mittelmässiges Verständnis,Völliges Verständnis,Mittelmässiges Verständnis,Mittelmässiges Verständnis,Falsch,Falsch,Ich weiss es nicht,Wahr,Ich verstehe die Frage nicht,Falsch,3,Ich habe darüber noch nie nachgedacht.,Stört mich ein wenig,Stört mich sehr,Immer,Nur wenn die Lehrperson es ausdrücklich erlaubt,Manchmal,"Französisch, Geografie, Chemie","Zusammenfassungen,Erklärungen,Schreiben von Texten,Lösung für Aufgaben","weniger Stress,Als Prüfungsvorbereitung,Bessere Erklärungen als von den Lehrern",4.0,3,20,Mittelmässiges Verständnis,False,False,True,True,False,False
102,Weiblich,17,"Gymnasium / Mittelschulen (IMS, HMS, FMS)","Biologie, Geografie, Musik","Deutsch, Geschichte, Informatik",0-1 Stunde pro Woche,Abschluss an einer Universität oder ETH,Abschluss an einer Universität / ETH,1,5,ChatGPT,Oft,Selten,Private Fragen zu persönlichen Themen,Ziemlich nützlich,Eher gut,Gar nicht,Kein Verständnis,Kein Verständnis,Kein Verständnis,Gutes Verständnis,Mittelmässiges Verständnis,Kein Verständnis,Falsch,Falsch,Falsch,Falsch,Ich weiss es nicht,Ich weiss es nicht,4,Ja,Stört mich ein wenig,Neutral / Mir egal,Oft,"Ja, für beides",Häufig,"Deutsch, Geschichte","Zusammenfassungen,Erklärungen,Schreiben von Texten,Ideenfindung / Kreative Ideen,Vorbereiten von Vorträgen","Zeitersparnis,Als Prüfungsvorbereitung,Bessere Erklärungen als von den Lehrern",5.0,4,11,Schlechtes Verständnis,False,False,True,False,True,False
103,Weiblich,16,"Gymnasium / Mittelschulen (IMS, HMS, FMS)",Französisch,"Deutsch, Physik, Informatik",Mehr als 5 Stunden pro Woche,Abschluss an einer Fachhochschule / Hochschule,Abschluss an einer Universität / ETH,3,5,ChatGPT,Sehr oft,Oft,"Verständnisfragen über Wissen im Alltag,Ernährung",Sehr nützlich,Eher gut,Weder gut noch schlecht,Kein Verständnis,Mittelmässiges Verständnis,Mittelmässiges Verständnis,Gutes Verständnis,Gutes Verständnis,Kein Verständnis,Falsch,Ich weiss es nicht,Falsch,Falsch,Wahr,Falsch,3,Ja,Neutral / Mir egal,Stört mich sehr,Immer,"Ja, für beides",Immer,"Deutsch, Geschichte","Zusammenfassungen,Erklärungen,Vorbereiten von Vorträgen,Grammatik / Rechtschreibung","Zeitersparnis,weniger Stress,Als Prüfungsvorbereitung,Für Fragen die ich nicht im Klassenraum stellen wollte,Bessere Erklärungen als von den Lehrern",4.0,5,16,Mittelmässiges Verständnis,False,False,True,False,True,False
104,Männlich,19,"Gymnasium / Mittelschulen (IMS, HMS, FMS)","Wirtschaft und Recht, Musik, Sport","Deutsch, Französisch, Zeichnen / Kunst",Mehr als 5 Stunden pro Woche,Berufsabschluss,Berufsabschluss,1,5,ChatGPT,Sehr oft,Selten,Verständnisfragen über Wissen im Alltag,Sehr nützlich,Sehr gut,Eher gut,Völliges Verständnis,Völliges Verständnis,Schlechtes Verständnis,Völliges Verständnis,Völliges Verständnis,Gutes Verständnis,Falsch,Falsch,Falsch,Falsch,Wahr,Wahr,3,Ja,Stört mich ein wenig,Stört mich sehr,Oft,"Ja, für beides",Immer,"Mathematik, Deutsch, Französisch","Zusammenfassungen,Erklärungen,Schreiben von Texten,Grammatik / Rechtschreibung","Zeitersparnis,Als Prüfungsvorbereitung",4.0,5,26,Völliges Verständnis,False,True,False,False,True,False
105,Weiblich,17,"Gymnasium / Mittelschulen (IMS, HMS, FMS)",Biologie,"Mathematik / Geometrie, Französisch",Mehr als 5 Stunden pro Woche,Abschluss eines Doktorat / Professur,Abschluss an einer Universität / ETH,2,4,Deep Seek,Manchmal,Oft,"Verständnisfragen über Wissen im Alltag,Private Fragen zu persönlichen Themen",Teils/teils,Weder gut noch schlecht,Eher gut,Mittelmässiges Verständnis,Kein Verständnis,Völliges Verständnis,Völliges Verständnis,Völliges Verständnis,Mittelmässiges Verständnis,Falsch,Falsch,Falsch,Wahr,Wahr,Falsch,3,Ja,Stört mich ein wenig,Stört mich sehr,Immer,"Ja, für beides",Häufig,"Mathematik, Französisch, Chemie","Erklärungen,Ideenfindung / Kreative Ideen,Lerntechniken / Tipps wie man lernt,Grammatik / Rechtschreibung","Als Prüfungsvorbereitung,Bessere Erklärungen als von den Lehrern",4.0,5,22,Gutes Verständnis,False,False,True,False,True,False
106,Weiblich,18,"Gymnasium / Mittelschulen (IMS, HMS, FMS)","Mathematik / Geometrie, Geografie, Wirtschaft und Recht","Biologie, Chemie, Physik",Mehr als 5 Stunden pro Woche,Berufsabschluss,Abschluss an einer Universität / ETH,2,5,"ChatGPT,Deep Seek",Sehr oft,Sehr oft,"Verständnisfragen über Wissen im Alltag,Private Fragen zu persönlichen Themen",Sehr nützlich,Sehr gut,Eher gut,Mittelmässiges Verständnis,Kein Verständnis,Völliges Verständnis,Völliges Verständnis,Kein Verständnis,Völliges Verständnis,Falsch,Falsch,Falsch,Wahr,Wahr,Ich verstehe die Frage nicht,3,Nein,Stört mich ein wenig,Neutral / Mir egal,Immer,"Nein, weder für die Schule noch für die Hausaufgaben",Immer,"Französisch, Biologie, Chemie","Zusammenfassungen,Erklärungen,Schreiben von Texten,Ideenfindung / Kreative Ideen,Vorbereiten von Vorträgen,Grammatik / Rechtschreibung","Zeitersparnis,weniger Stress,Als Prüfungsvorbereitung,Für Fragen die ich nicht im Klassenraum stellen wollte,Bessere Erklärungen als von den Lehrern",4.0,4,20,Mittelmässiges Verständnis,False,False,True,False,False,True
107,Männlich,16,"Gymnasium / Mittelschulen (IMS, HMS, FMS)","Mathematik / Geometrie, Wirtschaft und Recht, Informatik","Zeichnen / Kunst, Sport, Musik",2-5 Stunden pro Woche,Berufsabschluss,Matura,3,4,ChatGPT,Manchmal,Oft,Verständnisfragen über Wissen im Alltag,Ziemlich nützlich,Sehr gut,Eher gut,Völliges Verständnis,Völliges Verständnis,Gutes Verständnis,Völliges Verständnis,Völliges Verständnis,Völliges Verständnis,Falsch,Wahr,Falsch,Falsch,Wahr,Falsch,3,Ja,Stört mich ein wenig,Stört mich sehr,Immer,Nur wenn die Lehrperson es ausdrücklich erlaubt,Selten,Informatik,"Zusammenfassungen,Ideenfindung / Kreative Ideen,Grammatik / Rechtschreibung",Zeitersparnis,4.0,5,29,Völliges Verständnis,False,True,False,False,True,False
108,Weiblich,18,"Gymnasium / Mittelschulen (IMS, HMS, FMS)","Mathematik / Geometrie, Wirtschaft und Recht","Biologie, Physik, Informatik",Mehr als 5 Stunden pro Woche,Abschluss an einer Fachhochschule / Hochschule,Abschluss an einer Hochschule / Fachhochschule,3,5,"ChatGPT,Deep Seek,Gemini (Google),Microsoft Copilot",Sehr oft,Manchmal,"Verständnisfragen über Wissen im Alltag,Private Fragen zu persönlichen Themen",Sehr nützlich,Eher gut,Weder gut noch schlecht,Kein Verständnis,Kein Verständnis,Kein Verständnis,Völliges Verständnis,Kein Verständnis,Gutes Verständnis,Falsch,Ich weiss es nicht,Falsch,Wahr,Ich weiss es nicht,Ich weiss es nicht,3,Nein,Neutral / Mir egal,Neutral / Mir egal,Oft,"Ja, für beides",Häufig,"Biologie, Geschichte, Französisch","Zusammenfassungen,Erklärungen,Schreiben von Texten,Ideenfindung / Kreative Ideen,Grammatik / Rechtschreibung","Zeitersparnis,Als Prüfungsvorbereitung,Bessere Erklärungen als von den Lehrern",3.0,2,13,Schlechtes Verständnis,False,False,True,False,False,True
109,Männlich,15,"Gymnasium / Mittelschulen (IMS, HMS, FMS)","Englisch, Geografie, Chemie",Mathematik / Geometrie,Mehr als 5 Stunden pro Woche,Ich weiss es nicht,Ich weiss es nicht,2,4,"ChatGPT,Gemini (Google)",Manchmal,Selten,"Verständnisfragen über Wissen im Alltag,Private Fragen zu persönlichen Themen",Sehr nützlich,Eher gut,Weder gut noch schlecht,Gutes Verständnis,Mittelmässiges Verständnis,Gutes Verständnis,Gutes Verständnis,Völliges Verständnis,Gutes Verständnis,Falsch,Falsch,Falsch,Wahr,Wahr,Falsch,3,Ja,Neutral / Mir egal,Stört mich ein wenig,Oft,Nur wenn die Lehrperson es ausdrücklich erlaubt,Manchmal,"Geografie, Geschichte","Zusammenfassungen,Erklärungen,Grammatik / Rechtschreibung","Zeitersparnis,weniger Stress,Als Prüfungsvorbereitung,Für Fragen die ich nicht im Klassenraum stellen wollte,Bessere Erklärungen als von den Lehrern",3.0,5,24,Gutes Verständnis,False,True,False,False,True,False
110,Weiblich,15,"Gymnasium / Mittelschulen (IMS, HMS, FMS)","Biologie, Kochen, Geografie","Mathematik / Geometrie, Physik, Informatik",2-5 Stunden pro Woche,Abschluss an einer Universität oder ETH,Abschluss an einer Hochschule / Fachhochschule,2,5,ChatGPT,Selten,Manchmal,"Erstellen von Bildern / Videos,Verständnisfragen über Wissen im Alltag",Ziemlich nützlich,Eher gut,Weder gut noch schlecht,Mittelmässiges Verständnis,Kein Verständnis,Kein Verständnis,Völliges Verständnis,Völliges Verständnis,Mittelmässiges Verständnis,Falsch,Falsch,Falsch,Falsch,Wahr,Falsch,3,Nein,Stört mich ein wenig,Stört mich sehr,Immer,Nur wenn die Lehrperson es ausdrücklich erlaubt,Häufig,"Französisch, Chemie, Physik","Zusammenfassungen,Erklärungen,Schreiben von Texten,Lerntechniken / Tipps wie man lernt,Grammatik / Rechtschreibung","Zeitersparnis,weniger Stress,Als Prüfungsvorbereitung,Bessere Erklärungen als von den Lehrern",5.0,6,18,Mittelmässiges Verständnis,False,False,True,False,False,True
111,Männlich,17,"Gymnasium / Mittelschulen (IMS, HMS, FMS)","Kochen, Sport","Deutsch, Französisch, Biologie",0-1 Stunde pro Woche,Obligatorische Schule,Abschluss an einer Universität / ETH,3,5,"ChatGPT,Deep Seek,Gemini (Google),Microsoft Copilot,My AI (Snapchat)",Sehr oft,Sehr oft,"Erstellen von Bildern / Videos,Verständnisfragen über Wissen im Alltag,Private Fragen zu persönlichen Themen",Sehr nützlich,Sehr gut,Sehr gut,Kein Verständnis,Kein Verständnis,Kein Verständnis,Völliges Verständnis,Gutes Verständnis,Gutes Verständnis,Falsch,Falsch,Falsch,Falsch,Wahr,Ich weiss es nicht,4,Nein,Neutral / Mir egal,Neutral / Mir egal,Immer,"Ja, für beides",Immer,"Englisch, Biologie, Geschichte","Zusammenfassungen,Erklärungen,Schreiben von Texten,Vorbereiten von Vorträgen,Grammatik / Rechtschreibung","Zeitersparnis,Als Prüfungsvorbereitung,Bessere Erklärungen als von den Lehrern",5.0,5,16,Mittelmässiges Verständnis,False,True,False,False,False,True
112,Männlich,15,"Gymnasium / Mittelschulen (IMS, HMS, FMS)","Mathematik / Geometrie, Geschichte, Sport","Deutsch, Biologie, Geografie",2-5 Stunden pro Woche,Abschluss an einer Universität oder ETH,Abschluss an einer Universität / ETH,3,5,ChatGPT,Sehr oft,Sehr oft,"Verständnisfragen über Wissen im Alltag,Private Fragen zu persönlichen Themen",Sehr nützlich,Eher gut,Weder gut noch schlecht,Kein Verständnis,Kein Verständnis,Gutes Verständnis,Völliges Verständnis,Kein Verständnis,Kein Verständnis,Falsch,Ich weiss es nicht,Falsch,Wahr,Falsch,Ich weiss es nicht,4,Ich habe darüber noch nie nachgedacht.,Stört mich ein wenig,Finde ich gut,Oft,"Ja, für beides",Immer,"Deutsch, Geschichte","Zusammenfassungen,Erklärungen,Schreiben von Texten,Grammatik / Rechtschreibung","Zeitersparnis,Als Prüfungsvorbereitung,Für Fragen die ich nicht im Klassenraum stellen wollte",5.0,2,13,Schlechtes Verständnis,False,True,False,True,False,False
113,Weiblich,15,"Gymnasium / Mittelschulen (IMS, HMS, FMS)","Sport, Handarbeit / Werken, Psychologie / Pädagogik","Mathematik / Geometrie, Informatik",2-5 Stunden pro Woche,Abschluss an einer Fachhochschule / Hochschule,Berufsabschluss,2,4,"ChatGPT,Hausaufgaben Hans",Sehr oft,Manchmal,"Erstellen von Bildern / Videos,Verständnisfragen über Wissen im Alltag,Kreativität",Ziemlich nützlich,Weder gut noch schlecht,Eher wenig,Kein Verständnis,Kein Verständnis,Kein Verständnis,Gutes Verständnis,Kein Verständnis,Mittelmässiges Verständnis,Falsch,Falsch,Falsch,Falsch,Wahr,Falsch,2,Ja,Neutral / Mir egal,Stört mich ein wenig,Oft,"Ja, für beides",Häufig,"Mathematik, Geografie, Geschichte","Zusammenfassungen,Erklärungen,Schreiben von Texten,Ideenfindung / Kreative Ideen,Lerntechniken / Tipps wie man lernt,Vorbereiten von Vorträgen","Zeitersparnis,weniger Stress,Als Prüfungsvorbereitung,Bessere Erklärungen als von den Lehrern",4.0,6,11,Schlechtes Verständnis,False,False,True,False,True,False
114,Männlich,17,"Gymnasium / Mittelschulen (IMS, HMS, FMS)","Mathematik / Geometrie, Wirtschaft und Recht, Informatik","Englisch, Französisch, Geschichte",0-1 Stunde pro Woche,Abschluss eines Doktorat / Professur,Abschluss eines Doktorat / Professur,3,5,"ChatGPT,Gemini (Google),Claude AI",Sehr oft,Manchmal,Erstellen von Bildern / Videos,Ziemlich nützlich,Eher gut,Eher gut,Völliges Verständnis,Völliges Verständnis,Völliges Verständnis,Gutes Verständnis,Völliges Verständnis,Völliges Verständnis,Falsch,Ich weiss es nicht,Falsch,Wahr,Wahr,Falsch,5,Nein,Neutral / Mir egal,Neutral / Mir egal,Immer,Nur wenn die Lehrperson es ausdrücklich erlaubt,Immer,"Französisch, Informatik","Erklärungen,Schreiben von Texten,Vorbereiten von Vorträgen,Programmierung","Zeitersparnis,Bessere Erklärungen als von den Lehrern",4.0,4,29,Völliges Verständnis,False,True,False,False,False,True
115,Weiblich,17,"Gymnasium / Mittelschulen (IMS, HMS, FMS)","Biologie, Geografie, Wirtschaft und Recht","Mathematik / Geometrie, Physik",2-5 Stunden pro Woche,Abschluss an einer Universität oder ETH,Matura,2,5,ChatGPT,Oft,Sehr oft,Private Fragen zu persönlichen Themen,Sehr nützlich,Eher gut,Eher gut,Mittelmässiges Verständnis,Gutes Verständnis,Schlechtes Verständnis,Völliges Verständnis,Kein Verständnis,Kein Verständnis,Falsch,Ich weiss es nicht,Wahr,Falsch,Wahr,Falsch,3,Ja,Neutral / Mir egal,Stört mich ein wenig,Oft,"Ja, für beides",Häufig,"Geografie, Biologie, Geschichte","Zusammenfassungen,Erklärungen,Schreiben von Texten,Ideenfindung / Kreative Ideen,Vorbereiten von Vorträgen","Zeitersparnis,weniger Stress,Als Prüfungsvorbereitung",4.0,4,16,Mittelmässiges Verständnis,False,False,True,False,True,False
116,Männlich,16,"Gymnasium / Mittelschulen (IMS, HMS, FMS)","Mathematik / Geometrie, Wirtschaft und Recht, Sport","Biologie, Geschichte",0-1 Stunde pro Woche,Abschluss an einer Fachhochschule / Hochschule,Berufsabschluss,2,3,ChatGPT,Oft,Manchmal,"Erstellen von Bildern / Videos,Verständnisfragen über Wissen im Alltag",Ziemlich nützlich,Eher gut,Eher wenig,Kein Verständnis,Kein Verständnis,Kein Verständnis,Mittelmässiges Verständnis,Kein Verständnis,Schlechtes Verständnis,Falsch,Falsch,Falsch,Ich weiss es nicht,Ich weiss es nicht,Ich weiss es nicht,3,Ich habe darüber noch nie nachgedacht.,Neutral / Mir egal,Stört mich ein wenig,Immer,Nur wenn die Lehrperson es ausdrücklich erlaubt,Manchmal,"Chemie, Geschichte","Zusammenfassungen,Erklärungen,Ideenfindung / Kreative Ideen",Zeitersparnis,3.0,3,9,Kein Verständnis,False,True,False,True,False,False
117,Weiblich,17,"Gymnasium / Mittelschulen (IMS, HMS, FMS)","Biologie, Chemie, Sport","Französisch, Physik, Informatik",Mehr als 5 Stunden pro Woche,Abschluss an einer Universität oder ETH,Abschluss an einer Hochschule / Fachhochschule,1,5,ChatGPT,Sehr oft,Manchmal,"Verständnisfragen über Wissen im Alltag,Private Fragen zu persönlichen Themen",Sehr nützlich,Sehr gut,Sehr gut,Schlechtes Verständnis,Gutes Verständnis,Mittelmässiges Verständnis,Völliges Verständnis,Mittelmässiges Verständnis,Schlechtes Verständnis,Falsch,Falsch,Falsch,Falsch,Wahr,Falsch,3,Nein,Neutral / Mir egal,Stört mich ein wenig,Oft,"Ja, für beides",Häufig,"Biologie, Physik, Geschichte","Zusammenfassungen,Erklärungen,Grammatik / Rechtschreibung","Zeitersparnis,Für Fragen die ich nicht im Klassenraum stellen wollte,Bessere Erklärungen als von den Lehrern",4.0,6,19,Mittelmässiges Verständnis,False,False,True,False,False,True
118,Männlich,15,"Gymnasium / Mittelschulen (IMS, HMS, FMS)","Geschichte, Kochen, Sport","Handarbeit / Werken, Chemie, Biologie",Mehr als 5 Stunden pro Woche,Matura,Matura,2,5,"ChatGPT,Deep Seek",Sehr oft,Oft,"Erstellen von Bildern / Videos,Verständnisfragen über Wissen im Alltag,Private Fragen zu persönlichen Themen",Sehr nützlich,Eher gut,Eher gut,Kein Verständnis,Gutes Verständnis,Gutes Verständnis,Völliges Verständnis,Mittelmässiges Verständnis,Gutes Verständnis,Falsch,Falsch,Falsch,Falsch,Wahr,Wahr,3,Nein,Finde ich sehr gut,Neutral / Mir egal,Oft,"Ja, für beides",Häufig,"Mathematik, Deutsch, Englisch","Zusammenfassungen,Erklärungen,Schreiben von Texten,Grammatik / Rechtschreibung","Zeitersparnis,weniger Stress,Als Prüfungsvorbereitung,Für Fragen die ich nicht im Klassenraum stellen wollte,Bessere Erklärungen als von den Lehrern",5.0,5,21,Gutes Verständnis,False,True,False,False,False,True
119,Weiblich,16,"Gymnasium / Mittelschulen (IMS, HMS, FMS)","Mathematik / Geometrie, Englisch, Biologie","Französisch, Physik, Geschichte",Mehr als 5 Stunden pro Woche,Abschluss eines Doktorat / Professur,Abschluss eines Doktorat / Professur,3,5,"ChatGPT,Gemini (Google),Microsoft Copilot,My AI (Snapchat)",Oft,Manchmal,"Erstellen von Bildern / Videos,Verständnisfragen über Wissen im Alltag",Ziemlich nützlich,Sehr gut,Eher gut,Mittelmässiges Verständnis,Schlechtes Verständnis,Gutes Verständnis,Völliges Verständnis,Völliges Verständnis,Gutes Verständnis,Falsch,Falsch,Falsch,Wahr,Wahr,Falsch,3,Nein,Neutral / Mir egal,Finde ich gut,Oft,Nur wenn die Lehrperson es ausdrücklich erlaubt,Häufig,"Geografie, Biologie, Chemie","Zusammenfassungen,Erklärungen,Vorbereiten von Vorträgen","Zeitersparnis,weniger Stress,Bessere Erklärungen als von den Lehrern",4.0,5,23,Gutes Verständnis,False,False,True,False,False,True
120,Weiblich,16,"Gymnasium / Mittelschulen (IMS, HMS, FMS)","Mathematik / Geometrie, Französisch, Informatik","Deutsch, Sport",Mehr als 5 Stunden pro Woche,Abschluss an einer Universität oder ETH,Berufsabschluss,3,4,ChatGPT,Manchmal,Manchmal,Verständnisfragen über Wissen im Alltag,Ziemlich nützlich,Sehr gut,Eher gut,Schlechtes Verständnis,Schlechtes Verständnis,Mittelmässiges Verständnis,Völliges Verständnis,Mittelmässiges Verständnis,Gutes Verständnis,Falsch,Falsch,Falsch,Falsch,Wahr,Falsch,4,Nein,Stört mich sehr,Stört mich sehr,Oft,"Ja, für beides",Manchmal,"Geografie, Biologie, Geschichte",Erklärungen,Zeitersparnis,4.0,6,19,Mittelmässiges Verständnis,False,False,True,False,False,True
